n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex,flat
382,382,478776.9789,0.95,0.97,1,55,1.0,795.9604335727,422770.7405284,10
383,383,75375.933,0.92,0.92,1,35,0.94,762.5949640304,422742.6070136,4
384,384,56834.5508,0.95,0.95,1,35,1.0,787.4621911184,422769.4551742,6
385,385,365936.2423,1.0,0.94,1,50,0.99,803.4128422354,422765.7302707,8
386,386,176483.636,0.91,0.97,1,40,0.97,779.8006156973,422755.0670783,2
387,387,274244.5771,0.93,0.97,1,45,1.0,787.880524635,422769.4551742,6
388,388,593645.0353,0.95,0.91,1,60,0.97,770.4657062098,422756.9951095,8
389,389,371671.5778,0.98,0.96,1,50,0.96,803.831175752,422751.9848519,6
390,390,578546.8895,0.96,0.99,1,60,0.99,808.4986304958,422766.3729478,10
391,391,-51104.35,0.98,0.91,1,30,0.93,782.5855696162,422738.239433,4
392,392,57286.0204,0.97,0.93,1,35,0.97,787.0438576017,422755.0670783,2
393,393,383423.193,0.94,0.93,1,50,0.99,774.9239941952,422763.8022395,2
394,394,366428.5858,1.0,0.93,1,50,1.0,799.1637210082,422768.1698201,2
395,395,170186.9651,0.91,1.0,1,40,0.99,792.5479793788,422765.0875936,6
396,396,55556.9032,0.93,1.0,1,35,1.0,800.6278883165,422768.1698201,2
397,397,483480.4707,0.97,0.94,1,55,0.93,791.2929788289,422740.1674643,10
398,398,278338.7315,0.94,0.98,1,45,0.92,796.169600331,422733.8718524,4
399,399,497985.5887,0.91,0.92,1,55,0.98,758.5550095616,422760.077336,4
