n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
152,152,595140.2495,0.93,0.94,0.2,60,0.97,58.9392451617,422755.1471487
153,153,376093.0627,0.97,0.97,0.3,50,0.93,61.2050499443,422738.0382001
154,154,180139.8931,0.92,0.96,0.4,40,0.92,59.0826096734,422734.0319933
155,155,-50794.3748,0.94,0.95,0.4,30,0.98,59.570225058,422760.2374769
156,156,494673.5336,0.93,0.93,0.7,55,0.94,58.681130359,422743.8512758
157,157,485126.1873,0.92,0.99,0.4,55,0.99,59.8569540815,422764.6050575
158,158,161999.7372,0.97,1.0,0.2,40,0.91,61.9793943524,422728.9416652
159,159,64109.9965,0.94,0.97,0.1,35,0.93,60.0864546634,422737.3154526
160,160,584435.2187,0.97,0.96,0.1,60,0.94,60.9469351416,422741.6830332
161,161,272676.2036,0.97,0.94,0.3,45,0.95,60.4307055363,422746.7733613
162,162,368016.3819,0.99,0.96,0.5,50,0.97,61.6926653289,422756.2312701
163,163,276863.519,0.92,0.97,0.7,45,1.0,59.3407244761,422770.0567594
164,164,171078.0193,0.95,0.95,0.9,40,0.94,59.9430901517,422744.5740234
165,165,477812.6818,0.95,0.99,1,55,0.98,60.9755493624,422762.4057195
166,166,572642.6178,1.0,0.98,1,60,0.95,62.581760028,422749.3029777
167,167,397089.5213,0.91,0.91,0.2,50,0.96,57.4191705663,422750.7795681
168,168,480581.8487,0.95,0.99,0.4,55,0.95,60.9755493624,422747.1347351
169,169,598001.3381,0.93,0.95,0.6,60,0.92,59.1973599644,422734.7547409
170,170,161492.3316,0.98,0.93,1,40,0.98,60.5454558272,422762.4057195
171,171,363900.8824,0.99,0.99,0.9,50,0.97,62.467009737,422757.6767652
172,172,58361.7773,0.97,0.95,0.9,35,0.93,60.688820339,422740.2064428
173,173,364789.522,0.99,1.0,0.2,50,0.95,62.7251245397,422746.4119876
174,174,-43705.4756,0.92,0.97,0.6,30,0.94,59.3407244761,422743.4899021
175,175,63517.8881,0.95,0.91,0.1,35,0.99,58.9106309409,422763.5209361
176,176,162935.9871,0.95,0.98,0.7,40,0.98,60.7174345597,422761.3215982
177,177,580436.0643,0.99,0.91,0.6,60,1.0,60.4020913155,422769.6953856
178,178,475700.392,1.0,0.94,0.2,55,0.93,61.5493008172,422737.6768264
179,179,-63716.6103,1.0,0.96,0.9,30,0.92,62.0655304226,422735.8388622
180,180,276194.7591,0.96,0.94,0.8,45,0.94,60.0578404426,422744.2126496
181,181,377467.492,0.94,0.99,0.1,50,0.97,60.6026842688,422754.785775
182,182,386728.216,0.94,0.92,0.3,50,0.97,58.79588065,422755.5085225
183,183,-52126.8044,0.98,0.91,0.2,30,0.94,60.0292262218,422742.044407
184,184,379145.5828,0.96,0.96,0.1,50,0.94,60.574070048,422741.6830332
185,185,491598.1257,0.95,0.92,0.5,55,0.93,59.1687457436,422738.7609477
186,186,-66456.5638,0.96,1.0,0.4,30,1.0,61.6065292588,422768.9726381
187,187,168449.6546,0.97,0.93,0.6,40,0.94,60.1725907336,422743.4899021
188,188,489060.5707,0.92,0.96,0.6,55,0.99,59.0826096734,422765.327805
189,189,-63533.4045,0.99,0.93,0.1,30,0.99,60.9183209209,422763.5209361
190,190,262279.4701,0.99,1.0,0.6,45,0.92,62.7251245397,422734.7547409
191,191,157242.4271,1.0,0.96,0.2,40,0.93,62.0655304226,422737.6768264
192,192,386077.6764,0.92,0.98,0.3,50,0.95,59.5988392788,422746.7733613
193,193,-45855.6808,0.94,0.91,0.4,30,0.99,58.5377658473,422764.6050575
194,194,597486.812,0.93,0.94,1,60,0.94,58.9392451617,422744.9353972
195,195,390049.3419,0.92,0.92,0.3,50,0.99,58.0501504627,422764.2436837
196,196,483966.6488,0.98,0.93,0.6,55,0.91,60.5454558272,422730.3871603
197,197,475640.02,1.0,0.94,0.4,55,0.93,61.5493008172,422738.3995739
198,198,-36653.3011,0.92,0.93,0.3,30,0.93,58.3082652654,422738.0382001
199,199,285258.3735,0.91,0.98,0.6,45,0.93,59.2259741852,422739.1223215
200,200,377689.5455,0.98,0.93,0.5,50,0.94,60.5454558272,422743.1285283
201,201,280043.5068,0.96,0.92,0.2,45,0.93,59.5416108372,422737.6768264
202,202,490390.9928,0.93,0.97,0.1,55,0.93,59.7135895698,422737.3154526
203,203,284550.8499,0.91,0.97,0.7,45,0.95,58.9678593825,422748.2188564
204,204,270818.8507,0.94,0.99,0.9,45,0.98,60.6026842688,422762.0443457
205,205,172415.1863,0.94,0.94,0.1,40,0.97,59.3121102553,422754.785775
206,206,47925.3589,0.97,0.99,0.4,35,0.98,61.7212795497,422760.2374769
207,207,358960.1836,1.0,1.0,0.7,50,0.98,63.0979896333,422761.3215982
208,208,595138.3955,0.94,0.92,0.2,60,0.97,58.79588065,422755.1471487
