n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
151,151,373935.9851,0.98,0.98,0.6,50,0.9,61.8360298407,422726.0195797
152,152,-45009.681,0.95,0.95,0.1,30,0.9,59.9430901517,422724.2127108
153,153,373961.5419,0.98,0.95,0.7,50,0.95,61.0616854326,422748.2188564
154,154,154671.7617,0.98,0.98,0.8,40,0.98,61.8360298407,422761.682972
155,155,-51795.3813,0.98,0.9,0.4,30,0.95,59.7711114191,422747.1347351
156,156,163169.7223,0.95,1.0,0.9,40,0.95,61.2336641651,422748.941604
157,157,-63182.1042,1.0,0.9,0.4,30,1.0,60.5168416064,422768.9726381
158,158,-55984.0787,0.95,0.95,0.5,30,1.0,59.9430901517,422769.3340118
159,159,147078.1022,1.0,0.98,1.0,40,1.0,62.581760028,422771.1408807
160,160,163231.1193,1.0,0.9,0.9,40,0.95,60.5168416064,422748.941604
161,161,-63397.7186,1.0,0.9,0.9,30,1.0,60.5168416064,422770.7795069
162,162,146395.2569,1.0,1.0,0.9,40,0.98,63.0979896333,422762.0443457
163,163,378112.7895,0.95,0.98,0.2,50,0.95,60.7174345597,422746.4119876
164,164,397068.2855,0.9,0.9,0.2,50,1.0,56.78819067,422768.2498905
165,165,383592.2339,0.95,0.9,0.7,50,1.0,58.6525161382,422770.0567594
166,166,157798.0256,0.98,0.98,0.6,40,0.95,61.8360298407,422747.8574827
167,167,587850.2049,1.0,0.9,0.2,60,0.9,60.5168416064,422724.5740846
168,168,580827.9923,1.0,0.9,0.6,60,0.98,60.5168416064,422760.9602244
169,169,-43426.5282,0.9,1.0,0.7,30,0.95,59.3693386969,422748.2188564
170,170,-63440.8415,1.0,0.9,1.0,30,1.0,60.5168416064,422771.1408807
171,171,182222.3298,0.9,1.0,0.2,40,0.9,59.3693386969,422724.5740846
172,172,-61612.3659,0.98,1.0,0.8,30,0.9,62.352259446,422726.7423272
173,173,-39031.8599,0.9,0.95,0.2,30,0.98,58.0787646834,422759.5147293
174,174,168957.3886,0.98,0.9,0.2,40,0.95,59.7711114191,422746.4119876
175,175,586341.2117,0.98,0.95,0.8,60,0.9,61.0616854326,422726.7423272
176,176,168231.8352,0.95,1.0,1.0,40,0.9,61.2336641651,422727.4650748
177,177,397098.4715,0.9,0.9,0.1,50,1.0,56.78819067,422767.8885167
178,178,184909.4826,0.9,0.98,0.4,40,0.9,58.8531090915,422725.2968321
179,179,567572.513,1.0,1.0,0.4,60,0.98,63.0979896333,422760.2374769
180,180,399341.493,0.9,0.95,0.3,50,0.9,58.0787646834,422724.9354584
181,181,592488.1187,0.95,0.9,0.4,60,1.0,58.6525161382,422768.9726381
182,182,576727.9313,1.0,0.95,0.7,60,0.95,61.8074156199,422748.2188564
183,183,577046.5937,1.0,0.98,0.7,60,0.9,62.581760028,422726.3809535
184,184,-58288.0377,0.95,1.0,1.0,30,0.95,61.2336641651,422749.3029777
185,185,-55179.3325,0.95,0.98,0.8,30,0.95,60.7174345597,422748.5802302
186,186,385805.0693,0.95,0.95,1.0,50,0.9,59.9430901517,422727.4650748
187,187,383722.2481,0.9,1.0,0.3,50,1.0,59.3693386969,422768.6112643
188,188,587608.7167,1.0,0.9,1.0,60,0.9,60.5168416064,422727.4650748
189,189,571147.0084,0.98,1.0,0.5,60,1.0,62.352259446,422769.3340118
190,190,586188.2269,0.98,0.9,0.5,60,0.98,59.7711114191,422760.5988507
191,191,392502.4512,0.9,1.0,0.9,50,0.9,59.3693386969,422727.103701
192,192,-28492.8076,0.9,0.9,0.1,30,0.95,56.78819067,422746.0506138
193,193,600971.2397,0.9,0.95,0.1,60,0.98,58.0787646834,422759.1533556
194,194,-33929.3622,0.9,0.9,0.5,30,1.0,56.78819067,422769.3340118
195,195,384649.0382,0.98,0.9,0.4,50,0.9,59.7711114191,422725.2968321
196,196,592316.2727,0.9,1.0,1.0,60,1.0,59.3693386969,422771.1408807
197,197,184704.1067,0.9,0.98,1.0,40,0.9,58.8531090915,422727.4650748
198,198,373060.2969,0.95,0.98,0.3,50,1.0,60.7174345597,422768.6112643
199,199,377931.6734,0.95,0.98,0.8,50,0.95,60.7174345597,422748.5802302
200,200,397068.2855,0.9,0.9,0.2,50,1.0,56.78819067,422768.2498905
201,201,178781.7567,0.9,0.95,0.6,40,1.0,58.0787646834,422769.6953856
202,202,-73257.3118,1.0,0.98,0.8,30,0.98,62.581760028,422761.682972
203,203,158244.5267,0.95,1.0,0.4,40,1.0,61.2336641651,422768.9726381
204,204,375259.233,1.0,0.9,0.8,50,0.95,60.5168416064,422748.5802302
205,205,370387.8564,1.0,0.9,0.3,50,1.0,60.5168416064,422768.6112643
206,206,574139.8806,1.0,0.95,0.7,60,0.98,61.8074156199,422761.3215982
207,207,607478.2353,0.9,0.9,0.6,60,0.98,56.78819067,422760.9602244
208,208,356860.7029,1.0,1.0,1.0,50,1.0,63.0979896333,422771.1408807
209,209,388735.2846,0.95,0.9,0.3,50,0.95,58.6525161382,422746.7733613
210,210,-43151.8668,0.95,0.9,0.6,30,0.95,58.6525161382,422747.8574827
211,211,-58417.4149,0.98,0.98,0.4,30,0.9,61.8360298407,422725.2968321
212,212,160351.5222,0.95,1.0,0.2,40,0.98,61.2336641651,422759.5147293
