n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
146,146.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.1,0.7,0.7,0.9,40.0,294.6014101457673,190.19516550018875,704.3785806966371,1122.6182237422863
147,147.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.7,0.8,0.9,30.0,-301.4892392172726,190.19516550018875,1146.7001475745144,1122.6182237422863
148,148.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.2,0.7,0.7,1.0,45.0,541.2856812190695,190.19516550018875,769.425660696637,1643.0557693199135
149,149.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.4,0.7,0.7,0.9,40.0,17.972407317243633,190.19516550018875,704.3785806966371,2458.11310616342
150,150.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.6,0.8,0.7,0.9,20.0,-934.6459212307777,56.00568523776178,1098.9735241277006,997.8962060108895
151,151.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.9,0.7,0.8,1.0,40.0,-354.7950458336332,162.37515352012838,849.8310922247281,4097.585006641488
152,152.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.4,0.7,0.8,1.0,60.0,757.2701869602369,190.19516550018875,1041.3781475745143,2533.3856909340016
153,153.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.1,0.7,1.0,0.9,50.0,562.154683908833,190.19516550018875,1260.9035144681432,1122.6182237422863
154,154.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.1,0.9,0.7,0.9,50.0,667.7085755631024,190.19516550018875,1085.1290041277005,1122.6182237422863
155,155.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6,0.7,1.0,0.9,20.0,-1010.2925825828543,56.00568523776178,930.09211528091,997.8962060108895
156,156.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.5,0.8,0.9,1.0,50.0,396.88996269685447,190.19516550018875,845.1346037528192,2978.5506517410463
157,157.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.1,1.0,1.0,1.0,50.0,572.2605202888285,190.19516550018875,1156.7151152809101,1197.8908085128685
158,158.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.7,0.7,0.9,1.0,45.0,1.359792398378674,190.19516550018875,889.961603752819,3868.8805733551358
159,159.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7,0.9,0.8,1.0,35.0,-550.3027753481339,190.19516550018875,1246.0001075745145,3868.8805733551358
160,160.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.6,0.7,0.7,0.9,55.0,516.295870013607,190.19516550018875,809.700580696637,3348.44302777751
161,161.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.8,0.7,0.7,1.0,30.0,-611.730632799082,87.56854361072114,769.425660696637,1912.0319678013086
162,162.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3,0.7,0.9,0.9,35.0,-134.97376044594023,190.19516550018875,1223.939291021329,2012.9481453563756
163,163.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.9,0.8,0.9,0.9,45.0,-306.76758343789976,190.19516550018875,1179.1122910213292,4683.937910198643
164,164.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3,0.8,0.9,0.9,25.0,-548.493756286626,190.19516550018875,1299.480291021329,2012.9481453563756
165,165.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.5,1.0,0.9,1.0,45.0,149.64223727060744,190.19516550018875,966.124603752819,2978.5506517410463
166,166.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.5,0.8,0.7,1.0,50.0,449.22142838891455,190.19516550018875,764.8735806966372,2978.5506517410463
167,167.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.8,0.7,0.8,1.0,60.0,347.1001211399998,190.19516550018875,1106.4252275745146,4314.04553416218
